Commodity,Unit of Sale
Maize,Bag
Rice - Local (perfumed),Bag
Rice - Local (non-perfumed),Bag
Rice - Imported (perfumed),Bag
Rice - Imported (non-perfumed),Bag
Paddy Rice,Bag
Millet,Bag
Sorghum,Bag
Cassava,Bag
Yam (White),100 Tubers
Cocoyam,Bag
Plantain (Apentu),Average Bunch
Plantain (Apem),Average Bunch
Palm Oil,4 Gallons
Dried Pepper,Bag
Fresh Pepper,Bag
Tomato,Crate
Onion,Bag
Cowpea,Bag
Groundnut (Red),Bag
Palm Fruit,Bag (mini)
Egg Commercial,1 Crate (30 Singles)
Gari,Bag
Cassava Chip (Kokonte),Bag
Banana,Average Bunch
Pineapple,100 Singles
Garden Egg,Bag
Ginger,Bag
Unshelled Groundnut,Bag
Soya Bean,Bag
Groundnut Oil,4 Gallons
Coconut Oil,4 Gallons
Anchovy,Bag
